target,position,direction,peak_layer,confidence_change,logit_diff_change,token_changed_rate
synonyms/nuance_defined,CC,high,16,-0.0217,0.1558,0.083
synonyms/nuance_defined,CC,low,22,-0.065,1.0569,0.25
synonyms/nuance_defined,FCC,high,0,0.0,-0.0043,0.0
synonyms/nuance_defined,FCC,low,16,-0.0054,0.0165,0.021
synonyms/nuance_defined,PANL,high,5,-0.0054,-0.0352,0.021
synonyms/nuance_defined,PANL,low,0,-0.0108,0.0273,0.042
synonyms/nuance_defined,PANL+1,high,0,0.0046,0.0378,0.062
synonyms/nuance_defined,PANL+1,low,5,-0.0054,-0.0339,0.021
twenty_questions/impurity,CC,high,22,0.015,0.1089,0.062
twenty_questions/impurity,CC,low,22,-0.0771,-0.3568,0.208
twenty_questions/impurity,FCC,high,0,-0.0054,0.0078,0.021
twenty_questions/impurity,FCC,low,0,0.0,0.0686,0.0
twenty_questions/impurity,PANL,high,0,-0.0054,-0.0069,0.021
twenty_questions/impurity,PANL,low,5,-0.0108,-0.0556,0.042
twenty_questions/impurity,PANL+1,high,0,-0.0054,-0.0347,0.021
twenty_questions/impurity,PANL+1,low,0,-0.0108,-0.0512,0.042
triviaqa/confidence,CC,high,22,0.0896,0.9337,0.146
triviaqa/confidence,CC,low,22,-0.0458,-1.4248,0.479
triviaqa/confidence,FCC,high,0,0.0083,0.0441,0.083
triviaqa/confidence,FCC,low,5,0.0083,0.0172,0.083
triviaqa/confidence,PANL,high,16,0.0271,-0.2487,0.104
triviaqa/confidence,PANL,low,16,-0.0187,-0.0823,0.271
triviaqa/confidence,PANL+1,high,5,0.0042,-0.0045,0.083
triviaqa/confidence,PANL+1,low,11,-0.0062,-0.0255,0.062
