rank,name,state,url,people_url
1,Carnegie Mellon University,PA,https://www.cs.cmu.edu,https://www.cs.cmu.edu/directory/faculty
2,Massachusetts Institute of Technology,MA,https://www.eecs.mit.edu,https://www.eecs.mit.edu/role/faculty-2/
3,Stanford University,CA,https://cs.stanford.edu,https://cs.stanford.edu/directory/faculty
4,University of California-Berkeley,CA,https://eecs.berkeley.edu,https://eecs.berkeley.edu/faculty
5,University of Illinois Urbana-Champaign,IL,https://cs.illinois.edu,https://cs.illinois.edu/about/people/faculty
6,Cornell University,NY,https://www.cs.cornell.edu,https://www.cs.cornell.edu/people/faculty
7,University of Washington,WA,https://www.cs.washington.edu,https://www.cs.washington.edu/people/faculty
8,Georgia Institute of Technology,GA,https://www.cc.gatech.edu,https://www.cc.gatech.edu/people/faculty
9,Princeton University,NJ,https://www.cs.princeton.edu,https://www.cs.princeton.edu/people/faculty
10,University of Michigan,MI,https://cse.engin.umich.edu,https://cse.engin.umich.edu/people/faculty
11,University of Texas at Austin,TX,https://www.cs.utexas.edu,https://www.cs.utexas.edu/people/faculty
12,University of California-San Diego,CA,https://cse.ucsd.edu,https://cse.ucsd.edu/faculty
13,University of Wisconsin-Madison,WI,https://www.cs.wisc.edu,https://www.cs.wisc.edu/faculty-staff/faculty
14,Columbia University,NY,https://www.cs.columbia.edu,https://www.cs.columbia.edu/people/faculty
15,University of Maryland-College Park,MD,https://www.cs.umd.edu,https://www.cs.umd.edu/people/faculty
16,University of California-Los Angeles,CA,https://www.cs.ucla.edu,https://www.cs.ucla.edu/people-faculty
17,University of Pennsylvania,PA,https://www.cis.upenn.edu,https://www.cis.upenn.edu/people/faculty
18,Purdue University,IN,https://www.cs.purdue.edu,https://www.cs.purdue.edu/people/faculty
19,University of Southern California,CA,https://www.cs.usc.edu,https://www.cs.usc.edu/people/faculty
20,Harvard University,MA,https://www.seas.harvard.edu/computer-science,https://www.seas.harvard.edu/computer-science/people
21,Yale University,CT,https://cpsc.yale.edu,https://cpsc.yale.edu/people/faculty
